Rang,Nom,Fortune,Société,Secteur
1,Bernard Arnault et sa famille,88286,LVMH,luxe
2,Alain Wertheimer et Gérard Wertheimer ainsi que leur famille,50000,CHANEL,luxe
3,Françoise Bettencourt-Meyers et sa famille,45800,L’OREAL,cosmétiques
4,Famille Hermès,43000,HERMES INTERNATIONAL,luxe
5,Gérard Mulliez et sa famille,32000,GROUPE MULLIEZ,distribution
6,François Pinault et sa famille,29000,KERING,luxe
7,"Laurent, Marie-Hélène & Thierry Dassault",23000,GROUPE INDUSTRIEL MARCEL DASSAULT,holding
8,Pierre Castel et sa famille,14000,CASTEL FRERES,vins
9,Emmanuel Besnier et sa famille,12000,LACTALIS,agroalimentaire
10,Patrick Drahi,9000,ALTICE,télécoms
11,François Perrodo et sa famille,8500,PERENCO,energie
12,Vincent Bolloré,7300,BOLLORE,holding
12,Pierre Omidyar,7300,EBAY/PAYPAL,numérique
14,Pierre Bellon et ses enfants,6500,SODEXO,services
14,Alexandre Ricard et sa famille,6500,PERNOD RICARD,agroalimentaire
16,Xavier Niel et sa famille,5900,ILIAD,télécoms
17,Famille Courtin-Clarins,5800,CLARINS,cosmétiques
18,Rodolphe Saadé et sa famille,5500,CMA-CGM,transports
19,Anne Beaufour et Henri Beaufour ainsi que leur famille,5300,GROUPE IPSEN,pharmacie
20,Margarita Louis-Dreyfus et sa famille,5200,LOUIS-DREYFUS COMPANY,holding
20,Alain Mérieux et sa famille,5200,BIOMERIEUX,chimie
22,Ariane de Rothschild et sa famille,5000,GROUPE E. DE ROTHSCHILD,services financiers
23,Marie-Christine Coisne-Roquette et Familles Coisne et Lambert,4800,SONEPAR,distribution
24,Famille Decaux,4400,JCDECAUX COMMUNICATION,publicité
25,Marc Ladreit de Lacharrière,4300,FIMALAC,holding
26,Robert Peugeot et sa famille,4200,STELLANTIS,automobile
27,Ginette Moulin et sa famille,4000,GALERIES LAFAYETTE,distribution
28,"Gilles Hennessy et familles Hennessy, Moët et Chandon",3900,LVMH,luxe
29,Nicolas Puech,3700,HERMES INTERNATIONAL,luxe
30,Famille Lesaffre,3500,LESAFFRE,agroalimentaire
31,Mohed Altrad,3400,ALTRAD,btp
32,Marc Hériard-Dubreuil et sa famille,3300,REMY COINTREAU,vins
33,Martin Bouygues et Olivier Bouygues ainsi que leur famille,2900,BOUYGUES,btp
33,Famille Lescure,2900,GROUPE SEB,consommation
35,Edouard Roquette et sa famille,2700,GROUPE ROQUETTE,agroalimentaire
36,Bris Rocher et sa famille,2600,GROUPE ROCHER,cosmétiques
36,Daniel Roullier et sa famille,2600,GROUPE ROULLIER,chimie
38,Pierre-Etienne Bindschedler,2500,SOPREMA,btp
39,Paul-Georges Despature et sa famille,2300,SOMFY,industrie
39,Louis Le Duff,2300,GROUPE LE DUFF,agroalimentaire
39,Gilles Martin et Yves-Loïc Martin,2300,EUROFINS SCIENTIFIC,santé
39,Philippe d’ Ornano et Christine d’ Ornano ainsi que leur famille,2300,SISLEY,cosmétiques
39,Martine Primat et sa famille,2300,PRIMLAND,industrie
44,Charles Edelstenne,2100,DASSAULT SYSTEMES,numérique
45,Norbert Dentressangle et sa famille,2000,DENTRESSANGLE,holding
45,Jean Mane et sa famille,2000,MANE,chimie
45,Famille de Wendel,2000,WENDEL,holding
48,Michel Leclercq et sa famille,1900,GROUPE DECATHLON,distribution
49,Sadri Fegaier,1800,SFAM,assurances
49,Eric Guerlain et sa famille,1800,LVMH,luxe
49,Octave Klaba et sa famille,1800,OVH CLOUD,numérique
49,Thierry Mauvernay et sa famille,1800,DEBIOPHARM GROUP,pharmacie
53,Jean-Pierre Cayard et Edith Cayard ainsi que leur famille,1700,LA MARTINIQUAISE,vins
53,Guillaume Dauphin et sa famille,1700,GUY DAUPHIN ENVIRONNEMENT,holding
53,Clément Fayat et sa famille,1700,FAYAT,btp
53,Famille Pich,1700,SNF FLOERGER,chimie
53,Famille Savare,1700,FRANÇOIS-CHARLES OBERTHUR,industrie
58,Pierre Bouriez et François Bouriez ainsi que leur famille,1600,GROUPE LOUIS DELHAIZE,distribution
58,Jacques-Antoine Granjon,1600,VEEPEE,numérique
58,Philippe Journo,1600,COMPAGNIE DE PHALSBOURG,immobilier
58,Christian Latouche et sa famille,1600,FIDUCIAL,services financiers
58,Robert Mouawad et sa famille,1600,MOUAWAD,luxe
63,Laurent Burelle et sa famille,1500,PLASTIC OMNIUM,automobile
63,Jean Cassegrain et sa famille,1500,LONGCHAMP,luxe
63,Gerard Déprez et sa famille,1500,LOXAM,services
63,Eric Duval et sa famille,1500,GROUPE DUVAL,immobilier
63,Bernard Fraisse et sa famille,1500,FAREVA,pharmacie
63,Yves Guillemot et sa famille,1500,UBISOFT,internet
63,Jean-Claude Mimran et sa famille,1500,GROUPE MIMRAN,holding
63,Jacques Gaston Murray,1500,MURRAY HOLDINGS,immobilier
63,Jérôme Seydoux et sa famille,1500,PATHE,cinéma
72,Gonzalve Bich et sa famille,1400,BIC,industrie
72,Famille Michelin,1400,MICHELIN,automobile
72,Jacques Veyrat,1400,IMPALA,holding
75,Christopher Descours et sa famille,1300,EPI,holding
75,Jean-Pierre Lamoure et famille Radat,1300,GROUPE ATLANTIC,industrie
75,Olivier Pelat,1300,EUROPEQUIPEMENTS,immobilier
75,Alain Taravella et sa famille,1300,ALTAREA COGEDIM,immobilier
79,"Louis Desanges et Familles Desanges, Gérondeau, Maréchal, Pinault, Schelcher",1230,SAFRAN,industrie
80,Jacques Merceron-Vicat et sa famille,1210,VICAT,btp
81,Edouard Carmignac et sa famille,1200,CARMIGNAC GESTION,services financiers
81,Frédéric Gervoson et Familles Chapoulart et Gervoson,1200,ANDROS,agroalimentaire
81,"Benoît Martinot-Lagarde et Familles Lefebvre, Barbier et Sarrut",1200,GROUPE LEFEBVRE SARRUT,services
81,Marie-Jeanne Meyer et Leopold Meyer ainsi que leur famille,1200,CAILLE,holding
81,Famille Papillaud,1200,GROUPE ALMA,agroalimentaire
81,Patrice Pichet et sa famille,1200,GROUPE PICHET,immobilier
81,Michel Reybier,1200,DOMAINES REYBIER,holding
81,Famille Rolloy,1200,PROMOGIM GROUPE,immobilier
81,Lionel Viret et sa famille,1200,GROUPE STAGO,pharmacie
90,"Antoine Fiévet et familles Fievet, Sauvin , Dufort",1100,FROMAGERIES BEL,agroalimentaire
90,Georges Gaspard et sa famille,1100,LYRECO,distribution
90,Jacky Lorenzetti et sa famille,1100,OVALTO INVESTISSEMENT,immobilier
90,Charles Ruggieri et sa famille,1100,BATIPART INVEST,holding
90,Iskandar Safa,1100,PRIVINVEST,industrie
95,Didier Domange et sa famille,1000,SAFRAN,industrie
95,François Faiveley et sa famille,1000,WABTEC,industrie
95,Thierry Gillier et sa famille,1000,ZADIG & VOLTAIRE,consommation
95,Yves Journel,1000,SAGESSE RETRAITE SANTE,maisons de retraite
95,Famille Le Lous,1000,URGO,pharmacie
95,Jean Madar et sa famille,1000,INTER PARFUMS,cosmétiques
95,Sébastien Picciotto,1000,ORFIM,holding
95,Beny Steinmetz,1000,BSG RESOURCES,services
103,Dominique Desseigne et Famille Desseigne-Barrière,950,GROUPE LUCIEN BARRIERE,hôtellerie
103,Irène Gosset et famille Colonna de Giovellina,950,POCHET,industrie
103,Serge Varsano et sa famille,950,SUCRES ET DENREES,services
106,Stéphane Delachaux et sa famille,900,DELACHAUX,industrie
